matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,exec_time
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.084162
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.064850
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.062943
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061989
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061989
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061989
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061989
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061035
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.061035
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,0.068903
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.066996
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.053883
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.067949
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.054121
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.069141
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.055075
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.053167
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.052214
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.066042
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.053167
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.066996
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.054121
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.066996
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.059128
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.066996
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.049829
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,0.050783
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.066996
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.054836
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.052929
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.068188
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.054836
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.052214
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.057936
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.052214
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.067949
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.053167
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.057936
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,0.051022
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.461102
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.352859
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.315189
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.313044
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.329018
