matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
bayer03.mtx,6747,6747,56196,-O3,16,1,dynamic,C-N,42979193,528725,45676,17553
bayer03.mtx,6747,6747,56196,-O3,16,1,guided,C-N,42844791,441879,21175,9197
bayer03.mtx,6747,6747,56196,-O3,16,10,static,C-N,42887252,441008,13744,5829
bayer03.mtx,6747,6747,56196,-O3,16,10,dynamic,C-N,42860087,460555,29875,13484
bayer03.mtx,6747,6747,56196,-O3,16,10,guided,C-N,42842497,442773,22059,9957
bayer03.mtx,6747,6747,56196,-O3,16,100,static,C-N,42889914,432246,13161,5792
bayer03.mtx,6747,6747,56196,-O3,16,100,dynamic,C-N,42847277,426939,8325,3173
bayer03.mtx,6747,6747,56196,-O3,16,100,guided,C-N,42855632,442167,21394,9409
bayer03.mtx,6747,6747,56196,-O3,16,1000,static,C-N,43019806,432714,10518,4279
bayer03.mtx,6747,6747,56196,-O3,16,1000,dynamic,C-N,43021864,434918,16533,8807
bayer03.mtx,6747,6747,56196,-O3,16,1000,guided,C-N,42949126,426982,10281,4490
bayer03.mtx,6747,6747,56196,-O3,16,10000,static,C-N,42880237,419999,6595,1473
bayer03.mtx,6747,6747,56196,-O3,16,10000,dynamic,C-N,42848445,419643,6052,1313
bayer03.mtx,6747,6747,56196,-O3,16,10000,guided,C-N,42867210,419208,6467,1669
bayer03.mtx,6747,6747,56196,-O3,32,1,static,C-N,43265407,517503,43309,16446
bayer03.mtx,6747,6747,56196,-O3,32,1,dynamic,C-N,43182173,569524,79302,25526
bayer03.mtx,6747,6747,56196,-O3,32,1,guided,C-N,43063945,446443,18311,5604
bayer03.mtx,6747,6747,56196,-O3,32,10,static,C-N,43175195,467578,35903,12931
bayer03.mtx,6747,6747,56196,-O3,32,10,dynamic,C-N,43064827,469746,32408,11720
bayer03.mtx,6747,6747,56196,-O3,32,10,guided,C-N,43089346,452938,26673,8965
bayer03.mtx,6747,6747,56196,-O3,32,100,static,C-N,43155376,450829,25174,8459
bayer03.mtx,6747,6747,56196,-O3,32,100,dynamic,C-N,43072622,437755,13642,4090
bayer03.mtx,6747,6747,56196,-O3,32,100,guided,C-N,43097670,438794,12832,3757
bayer03.mtx,6747,6747,56196,-O3,32,1000,static,C-N,43540683,441498,19730,9640
bayer03.mtx,6747,6747,56196,-O3,32,1000,dynamic,C-N,43309541,433780,10638,2669
bayer03.mtx,6747,6747,56196,-O3,32,1000,guided,C-N,43530645,439750,18364,8381
bayer03.mtx,6747,6747,56196,-O3,32,10000,static,C-N,43085082,423772,8941,1701
bayer03.mtx,6747,6747,56196,-O3,32,10000,dynamic,C-N,43273168,422845,9097,1788
bayer03.mtx,6747,6747,56196,-O3,32,10000,guided,C-N,43219990,422125,8489,1911
bayer03.mtx,6747,6747,56196,-O3,64,1,static,C-N,44279696,559067,79284,26739
bayer03.mtx,6747,6747,56196,-O3,64,1,dynamic,C-N,44032453,579293,90845,22930
bayer03.mtx,6747,6747,56196,-O3,64,1,guided,C-N,44077729,459950,22209,5864
bayer03.mtx,6747,6747,56196,-O3,64,10,static,C-N,44148141,476543,41584,12033
bayer03.mtx,6747,6747,56196,-O3,64,10,dynamic,C-N,44205515,468393,29210,9958
bayer03.mtx,6747,6747,56196,-O3,64,10,guided,C-N,44075877,469061,37312,11390
bayer03.mtx,6747,6747,56196,-O3,64,100,static,C-N,44047611,444897,18114,4556
bayer03.mtx,6747,6747,56196,-O3,64,100,dynamic,C-N,44007200,461030,32516,8070
bayer03.mtx,6747,6747,56196,-O3,64,100,guided,C-N,44126307,467316,38302,9830
bayer03.mtx,6747,6747,56196,-O3,64,1000,static,C-N,44536268,442118,15102,2923
bayer03.mtx,6747,6747,56196,-O3,64,1000,dynamic,C-N,44621491,446608,18513,4416
bayer03.mtx,6747,6747,56196,-O3,64,1000,guided,C-N,44736568,442056,14701,2951
bayer03.mtx,6747,6747,56196,-O3,64,10000,static,C-N,44107866,434628,13777,2022
bayer03.mtx,6747,6747,56196,-O3,64,10000,dynamic,C-N,44869953,431934,13016,2760
bayer03.mtx,6747,6747,56196,-O3,64,10000,guided,C-N,44362819,435147,14471,2362
cage13.mtx,445315,445315,7479343,-O3,1,1,static,C-N,7048447049,96358871,565877,387751
cage13.mtx,445315,445315,7479343,-O3,1,1,dynamic,C-N,7056017386,96388028,434387,292305
cage13.mtx,445315,445315,7479343,-O3,1,1,guided,C-N,7048447363,95271226,487371,304979
cage13.mtx,445315,445315,7479343,-O3,1,10,static,C-N,7048447054,95945754,548121,387895
cage13.mtx,445315,445315,7479343,-O3,1,10,dynamic,C-N,7049204080,96290687,462375,294537
cage13.mtx,445315,445315,7479343,-O3,1,10,guided,C-N,7048447364,96074675,469628,298908
cage13.mtx,445315,445315,7479343,-O3,1,100,static,C-N,7048447059,95938223,551506,385465
cage13.mtx,445315,445315,7479343,-O3,1,100,dynamic,C-N,7048522755,95431324,473596,296579
cage13.mtx,445315,445315,7479343,-O3,1,100,guided,C-N,7048447369,96176009,450365,289314
cage13.mtx,445315,445315,7479343,-O3,1,1000,static,C-N,7048447058,96085515,483833,308621
cage13.mtx,445315,445315,7479343,-O3,1,1000,dynamic,C-N,7048454618,95836903,480963,306886
cage13.mtx,445315,445315,7479343,-O3,1,1000,guided,C-N,7048447368,96174274,486544,309595
cage13.mtx,445315,445315,7479343,-O3,1,10000,static,C-N,7048447053,96090519,478198,303812
cage13.mtx,445315,445315,7479343,-O3,1,10000,dynamic,C-N,7048447798,95972548,475013,300523
cage13.mtx,445315,445315,7479343,-O3,1,10000,guided,C-N,7048447370,95284251,475282,303831
cage13.mtx,445315,445315,7479343,-O3,2,1,static,C-N,7059566189,97453454,609040,437247
cage13.mtx,445315,445315,7479343,-O3,2,1,dynamic,C-N,7056326639,99359153,1219380,1023265
cage13.mtx,445315,445315,7479343,-O3,2,1,guided,C-N,7048756304,95443586,482626,315717
cage13.mtx,445315,445315,7479343,-O3,2,10,static,C-N,7049852287,96453930,740803,564725
cage13.mtx,445315,445315,7479343,-O3,2,10,dynamic,C-N,7049512620,96546297,769043,579920
cage13.mtx,445315,445315,7479343,-O3,2,10,guided,C-N,7048767626,96294746,561977,415627
cage13.mtx,445315,445315,7479343,-O3,2,100,static,C-N,7048974115,96443999,578543,394980
cage13.mtx,445315,445315,7479343,-O3,2,100,dynamic,C-N,7048831853,96456375,768579,602539
cage13.mtx,445315,445315,7479343,-O3,2,100,guided,C-N,7048756965,96246928,551227,408888
cage13.mtx,445315,445315,7479343,-O3,2,1000,static,C-N,7048849339,96169980,492477,343939
cage13.mtx,445315,445315,7479343,-O3,2,1000,dynamic,C-N,7048764044,96299338,591537,435611
cage13.mtx,445315,445315,7479343,-O3,2,1000,guided,C-N,7048840176,96958345,696058,544793
