matrix_name,rows,procs,computation_time,communication_time,max_vol,min_vol,avg_vol,max_load,min_load,avg_load,max_mem_KB,min_mem_KB,avg_mem_KB
synthetic_256x256_K32.mtx,256,1,0.009298,0.000000,0,0,0.000000,8192,8192,8192.000000,101.003906,101.003906,101.003906
synthetic_512x512_K32.mtx,512,2,0.009298,0.063419,512,512,512.000000,8192,8192,8192.000000,104.003906,104.003906,104.003906
synthetic_1024x1024_K32.mtx,1024,4,0.009537,0.082493,1536,1534,1535.000000,8192,8192,8192.000000,110.003906,109.992188,109.998047
synthetic_2048x2048_K32.mtx,2048,8,0.009537,0.106096,3544,3517,3525.250000,8192,8192,8192.000000,121.781250,121.570312,121.659668
synthetic_4096x4096_K32.mtx,4096,16,0.010014,0.231266,6696,6588,6650.125000,8192,8192,8192.000000,140.332031,139.664062,139.969482
synthetic_8192x8192_K32.mtx,8192,32,0.010252,0.349283,10161,9887,10023.625000,8192,8192,8192.000000,160.476562,159.000000,159.736084
synthetic_16384x16384_K32.mtx,16384,64,0.010490,0.883579,12891,12596,12709.593750,8192,8192,8192.000000,176.367188,174.656250,175.474182
synthetic_32768x32768_K32.mtx,32768,128,0.010967,3.481388,14621,14151,14385.546875,8192,8192,8192.000000,185.917969,184.570312,185.294220
