matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
bayer03.mtx,6747,6747,56196,-O3,16,1,guided,C-N,42932460,431428,10414,431
bayer03.mtx,6747,6747,56196,-O3,16,10,static,C-N,42899446,438753,14764,732
bayer03.mtx,6747,6747,56196,-O3,16,10,dynamic,C-N,42818605,441015,14359,449
bayer03.mtx,6747,6747,56196,-O3,16,10,guided,C-N,42939577,431643,10252,448
bayer03.mtx,6747,6747,56196,-O3,16,100,static,C-N,42853005,429134,10488,789
bayer03.mtx,6747,6747,56196,-O3,16,100,dynamic,C-N,42887054,429052,10684,405
bayer03.mtx,6747,6747,56196,-O3,16,100,guided,C-N,42882039,427073,9916,714
bayer03.mtx,6747,6747,56196,-O3,16,1000,static,C-N,42848136,427274,9388,850
bayer03.mtx,6747,6747,56196,-O3,16,1000,dynamic,C-N,42825459,424519,9385,774
bayer03.mtx,6747,6747,56196,-O3,16,1000,guided,C-N,43123100,426288,8042,500
bayer03.mtx,6747,6747,56196,-O3,16,10000,static,C-N,42877325,425786,8754,460
bayer03.mtx,6747,6747,56196,-O3,16,10000,dynamic,C-N,42847748,428644,9015,787
bayer03.mtx,6747,6747,56196,-O3,16,10000,guided,C-N,42968995,425379,8888,725
bayer03.mtx,6747,6747,56196,-O3,32,1,static,C-N,43412782,492451,38784,4231
bayer03.mtx,6747,6747,56196,-O3,32,1,dynamic,C-N,43312230,500214,37705,2036
bayer03.mtx,6747,6747,56196,-O3,32,1,guided,C-N,43178261,439838,15376,1682
bayer03.mtx,6747,6747,56196,-O3,32,10,static,C-N,43351275,446669,20348,2207
bayer03.mtx,6747,6747,56196,-O3,32,10,dynamic,C-N,43335446,446470,18696,2616
bayer03.mtx,6747,6747,56196,-O3,32,10,guided,C-N,43392948,437741,14311,1845
bayer03.mtx,6747,6747,56196,-O3,32,100,static,C-N,43383046,434173,12858,1650
bayer03.mtx,6747,6747,56196,-O3,32,100,dynamic,C-N,43290273,434115,12693,1573
bayer03.mtx,6747,6747,56196,-O3,32,100,guided,C-N,43193984,435641,13178,1864
bayer03.mtx,6747,6747,56196,-O3,32,1000,static,C-N,43193766,433020,10139,1108
bayer03.mtx,6747,6747,56196,-O3,32,1000,dynamic,C-N,43318959,433147,10238,1149
bayer03.mtx,6747,6747,56196,-O3,32,1000,guided,C-N,43356866,430355,10044,893
bayer03.mtx,6747,6747,56196,-O3,32,10000,static,C-N,43210945,432574,10904,837
bayer03.mtx,6747,6747,56196,-O3,32,10000,dynamic,C-N,43566925,431667,11028,1016
bayer03.mtx,6747,6747,56196,-O3,32,10000,guided,C-N,43297286,432474,9988,786
bayer03.mtx,6747,6747,56196,-O3,64,1,static,C-N,44497417,513954,52976,7954
bayer03.mtx,6747,6747,56196,-O3,64,1,dynamic,C-N,44406783,513725,50441,6962
bayer03.mtx,6747,6747,56196,-O3,64,1,guided,C-N,44326805,454677,21724,4389
